geo_value,time_value,viral_activity_level,viral_activity_level_num,viral_activity_level_cat,geo_res
Central,2023-09-03,3.030640467444617,3.0,moderate,region
Central,2023-09-10,2.469642889880685,2.0,low,region
Central,2023-09-17,1.9858729251328056,2.0,low,region
Central,2023-09-24,1.7044872114209473,2.0,low,region
Central,2023-10-01,1.8931737131350743,2.0,low,region
Central,2023-10-08,1.8963881971274972,2.0,low,region
Central,2023-10-15,0.7013629694801928,1.0,minimal,region
Central,2023-10-22,1.0176036345685653,1.0,minimal,region
Central,2023-10-29,2.4870228832315835,2.0,low,region
Central,2023-11-05,1.0720156623278962,1.0,minimal,region
Central,2023-11-12,1.675165931818705,2.0,low,region
Central,2023-11-19,2.7109512696927545,2.0,low,region
Central,2023-11-26,3.2347752109868373,3.0,moderate,region
Central,2023-12-03,2.232408937548504,2.0,low,region
Central,2023-12-10,3.3467297741921795,3.0,moderate,region
Central,2023-12-17,3.485912063767212,3.0,moderate,region
Central,2023-12-24,4.823197553801926,4.0,high,region
Central,2023-12-31,5.546083675504379,4.0,high,region
Central,2024-01-07,5.799665256110319,4.0,high,region
Central,2024-01-14,19.23145833197504,5.0,very high,region
Central,2024-01-21,8.88902889542976,5.0,very high,region
Central,2024-01-28,11.528400505232364,5.0,very high,region
Eastern,2021-09-12,,,,region
Eastern,2021-09-19,,,,region
Eastern,2021-09-26,,,,region
Eastern,2021-10-03,,,,region
Eastern,2021-10-10,,,,region
Eastern,2021-10-17,,,,region
Eastern,2021-10-24,3.2564186480779798,3.0,moderate,region
Eastern,2021-10-31,3.377850691691707,3.0,moderate,region
Eastern,2021-11-07,2.1451373433755814,2.0,low,region
Eastern,2021-11-14,3.1664436575251886,3.0,moderate,region
Eastern,2021-11-21,,,,region
Eastern,2021-11-28,8.669533826804237,5.0,very high,region
Eastern,2021-12-05,15.663326296403874,5.0,very high,region
Eastern,2021-12-12,6.490190780425156,4.0,high,region
Eastern,2021-12-19,15.012452098164161,5.0,very high,region
Eastern,2021-12-26,122.58968737219651,5.0,very high,region
Eastern,2022-01-02,11.24474555890162,5.0,very high,region
Eastern,2022-01-09,9.409298290974771,5.0,very high,region
Eastern,2022-01-16,5.674185893790389,4.0,high,region
