geo_value,time_value,geo_res,hosp_fac_BOW_7d_avg
Central,2022-11-26,region,15.14574816533319
Central,2022-12-03,region,18.08976517522124
Central,2022-12-10,region,22.923265816039034
Central,2022-12-17,region,23.322335491532
Central,2022-12-24,region,29.138839458090462
Central,2022-12-31,region,36.25771357240599
Central,2023-01-07,region,36.01323084304222
Central,2023-01-14,region,29.67512170036665
Central,2023-01-21,region,25.89832442707212
Central,2023-01-28,region,24.096282439311278
Central,2023-02-04,region,23.336880821594654
Central,2023-02-11,region,21.141996113237177
Central,2023-02-18,region,20.417291530291276
Central,2023-02-25,region,15.312215295704997
Central,2023-03-04,region,11.306995313485867
Central,2023-03-11,region,10.264067440012418
Central,2023-03-18,region,9.660506927102867
Central,2023-03-25,region,5.807723244563968
Central,2023-04-01,region,6.67020413690814
Central,2023-04-08,region,5.5563732313119605
Central,2023-04-15,region,3.6042256541673874
Central,2023-04-22,region,4.9851781122845935
Central,2023-04-29,region,2.4769870824689693
Central,2023-05-06,region,2.495932942329087
Central,2023-05-13,region,2.5914751267216296
Central,2023-05-20,region,2.3522009971308027
Central,2023-05-27,region,2.16068118045649
Central,2023-06-03,region,2.0733447878221045
Central,2023-06-10,region,1.0483657099605472
Central,2023-06-17,region,2.0636195598730307
Central,2023-06-24,region,1.7019452370597257
Central,2023-07-01,region,2.1427747634043715
Central,2023-07-08,region,2.010638420313778
Central,2023-07-15,region,2.4634355703303634
Central,2023-07-22,region,3.5001231632484915
Central,2023-07-29,region,3.029886097013476
Central,2023-08-05,region,4.8027599162746295
Central,2023-08-12,region,7.141252606535951
Central,2023-08-19,region,11.136253292209313
Central,2023-08-26,region,14.292069547216528
Central,2023-09-02,region,12.668450879187086
Central,2023-09-09,region,16.77479847600601
Central,2023-09-16,region,13.523129924894969
Central,2023-09-23,region,16.121911016025994
Central,2023-09-30,region,14.227728609468771
Central,2023-10-07,region,11.43895745140916
Central,2023-10-14,region,9.963081505022496
Central,2023-10-21,region,9.38856732443164
Central,2023-10-28,region,7.833460193895206
Central,2023-11-04,region,7.654923541251174
Central,2023-11-11,region,10.610569241907983
Central,2023-11-18,region,12.28312725483485
Central,2023-11-25,region,15.294007434218654
Central,2023-12-02,region,18.09469532651262
Central,2023-12-09,region,14.442907159324449
Central,2023-12-16,region,18.56928087852724
Central,2023-12-23,region,27.149161660431066
Central,2023-12-30,region,32.885305364343026
Central,2024-01-06,region,35.11107146669977
Central,2024-01-13,region,27.93950799859936
Central,2024-01-20,region,21.55587128952746
Central,2024-01-27,region,17.31359832921192
Central,2024-02-03,region,15.094465226716595
Eastern,2020-03-07,region,0.0
Eastern,2020-03-14,region,0.0
Eastern,2020-03-21,region,0.0
Eastern,2020-03-28,region,0.0
Eastern,2020-04-04,region,0.0
Eastern,2020-04-11,region,0.0
Eastern,2020-04-18,region,0.0
Eastern,2020-04-25,region,0.0
Eastern,2020-05-02,region,0.0
Eastern,2020-05-09,region,0.0
Eastern,2020-05-16,region,0.0
Eastern,2020-05-23,region,0.0
Eastern,2020-05-30,region,0.0
Eastern,2020-06-06,region,0.0
Eastern,2020-06-13,region,0.0
Eastern,2020-06-20,region,0.0
Eastern,2020-06-27,region,0.0
Eastern,2020-07-04,region,0.0
Eastern,2020-07-11,region,0.0
Eastern,2020-07-18,region,24.66968576847225
Eastern,2020-07-25,region,27.6246528561064
Eastern,2020-08-01,region,17.152963763052178
Eastern,2020-08-08,region,12.502901367862586
Eastern,2020-08-15,region,14.475015378518377
Eastern,2020-08-22,region,10.77196508386341
Eastern,2020-08-29,region,16.440947832092444
Eastern,2020-09-05,region,8.206220857781659
Eastern,2020-09-12,region,4.907157837545705
Eastern,2020-09-19,region,4.601576689229797
Eastern,2020-09-26,region,3.8585676820777786
Eastern,2020-10-03,region,1.813757172133189
Eastern,2020-10-10,region,6.895766688809244
Eastern,2020-10-17,region,5.679926877616067
Eastern,2020-10-24,region,7.026450785897107
Eastern,2020-10-31,region,4.769603705556542
Eastern,2020-11-07,region,11.467109424048132
Eastern,2020-11-14,region,11.90983488597008
Eastern,2020-11-21,region,15.863812960711249
Eastern,2020-11-28,region,17.783751914204785
Eastern,2020-12-05,region,23.04950808956648
Eastern,2020-12-12,region,29.21019429879221
Eastern,2020-12-19,region,34.88297998100644
Eastern,2020-12-26,region,38.34624869554883
Eastern,2021-01-02,region,41.53897465939254
Eastern,2021-01-09,region,48.60309827082408
Eastern,2021-01-16,region,58.826820894040935
Eastern,2021-01-23,region,51.51931283501368
Eastern,2021-01-30,region,51.92995416454483
Eastern,2021-02-06,region,50.99313961702981
Eastern,2021-02-13,region,40.93359368729971
Eastern,2021-02-20,region,35.45487913180525
Eastern,2021-02-27,region,33.20338862327706
Eastern,2021-03-06,region,22.477392262336288
Eastern,2021-03-13,region,25.582947825891026
Eastern,2021-03-20,region,23.88710226330959
Eastern,2021-03-27,region,25.27284519529343
Eastern,2021-04-03,region,25.021573260830632
Eastern,2021-04-10,region,25.46709840148748
Eastern,2021-04-17,region,21.31083625693637
Eastern,2021-04-24,region,21.64281871642323
Eastern,2021-05-01,region,14.678889823489444
Eastern,2021-05-08,region,15.32843937424434
Eastern,2021-05-15,region,12.869476655636388
Eastern,2021-05-22,region,12.125830273327804
Eastern,2021-05-29,region,5.551569553630473
Eastern,2021-06-05,region,3.944199175728597
Eastern,2021-06-12,region,3.1261295504898245
Eastern,2021-06-19,region,3.2140542219780683
Eastern,2021-06-26,region,3.719250109748396
Eastern,2021-07-03,region,2.6056414146872906
Eastern,2021-07-10,region,2.766828601356936
Eastern,2021-07-17,region,6.207241980351851
Eastern,2021-07-24,region,7.536215210319322
Eastern,2021-07-31,region,9.84434062124221
Eastern,2021-08-07,region,19.45145018388779
Eastern,2021-08-14,region,28.34158387830007
Eastern,2021-08-21,region,35.08254488180036
Eastern,2021-08-28,region,44.7178837764296
Eastern,2021-09-04,region,46.93188755178421
Eastern,2021-09-11,region,52.21338861498578
Eastern,2021-09-18,region,49.77501518101676
Eastern,2021-09-25,region,43.597909195768565
Eastern,2021-10-02,region,42.10876539511701
Eastern,2021-10-09,region,30.55638491988272
Eastern,2021-10-16,region,27.28809202588115
Eastern,2021-10-23,region,22.25220985781281
Eastern,2021-10-30,region,16.17011145358917
Eastern,2021-11-06,region,13.404877908255338
Eastern,2021-11-13,region,12.298003872240214
Eastern,2021-11-20,region,10.315095631394792
Eastern,2021-11-27,region,15.929005675615384
Eastern,2021-12-04,region,19.19993056130436
Eastern,2021-12-11,region,21.518389109980845
Eastern,2021-12-18,region,24.505460044138864
Eastern,2021-12-25,region,25.84378166476749
Eastern,2022-01-01,region,59.73857189025721
